reference,protocol,seed,role,cycle,event_time,reference_event_time,timing,recall,precision,mass_ratio,recovery,peak_roi,peak_full,peak_outside,reference_mass,predicted_mass,overlap_mass
refined,original,43,E,1,0.22922,0.24143333333333333,0.012213333333333326,0.8055996372704605,0.8853868194842407,0.9098843799591932,1.0,0.06120867768595041,0.018515625,0.0,0.0006892187499999996,0.0006271093749999998,0.0005552343749999998
refined,original,43,E,2,1.4930999999999999,1.49965,0.006550000000000056,0.9863579474342932,0.8805586592178769,1.120150187734669,1.0,0.07076446280991736,0.02140625,0.0,0.00062421875,0.0006992187500000003,0.0006157031250000001
refined,original,43,F,1,0.201525,0.24143333333333333,0.03990833333333332,0.8420992972115164,0.7589130656859736,1.109612332804353,1.0,0.05785123966942149,0.0175,0.0,0.0006892187499999996,0.0007647656249999998,0.0005803906249999995
refined,original,43,F,2,1.5048000000000001,1.49965,0.00515000000000021,0.8937421777221527,0.9251198341754114,0.9660826032540676,1.0,0.06921487603305786,0.0209375,0.0,0.00062421875,0.000603046875,0.000557890625
refined,original,-,B_E,1,0.2558714285714286,0.24143333333333333,0.01443809523809525,0.7974382226252553,0.9875070185289163,0.8075266379505783,1.0,0.05965909090909091,0.018046875,0.0,0.0006892187499999996,0.0005565624999999999,0.0005496093749999999
refined,original,-,B_E,2,1.5133714285714286,1.49965,0.013721428571428662,0.7758448060075094,0.9929521063591221,0.7813516896120151,1.0,0.05371900826446281,0.01625,0.0,0.00062421875,0.000487734375,0.00048429687499999997
refined,shorter,29,E,1,0.23726666666666668,0.24143333333333333,0.004166666666666652,0.8699841305826341,0.9618999874671009,0.9044434368623895,1.0,0.06714876033057851,0.0203125,0.0,0.0006892187499999996,0.0006233593749999997,0.0005996093749999996
refined,shorter,29,E,2,1.224025,1.2268000000000001,0.002775000000000194,0.9666095890410956,0.889396565306444,1.0868150684931506,1.0,0.07799586776859505,0.02359375,0.0,0.0009125000000000001,0.00099171875,0.0008820312499999999
refined,shorter,29,F,1,0.22393333333333335,0.24143333333333333,0.017499999999999988,0.8358648832464297,0.8564459930313592,0.9759691679891181,1.0,0.060950413223140494,0.0184375,0.0,0.0006892187499999996,0.0006726562499999996,0.0005760937499999999
refined,shorter,29,F,2,1.2276375,1.2268000000000001,0.0008374999999998245,0.9595890410958902,0.8819641170915954,1.0880136986301374,1.0,0.08006198347107438,0.02421875,0.0,0.0009125000000000001,0.0009928125000000004,0.0008756249999999999
