reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,fine,original,29,E_vs_F,energy_error,0.004062426958068074,0.002945495250170261,0.0011169317078978127,0.11169317078978126,-0.37919996911665355
old,fine,original,29,E_vs_F,local_joule_NRMSE,0.06522075304494974,0.10150926672466454,-0.03628851367971479,,0.35748966425050016
old,fine,original,29,E_vs_B_E,S,0.001030078125,0.0014084375000000002,-0.0003783593750000002,,0.2686376747282007
old,fine,original,29,E_vs_B_E,Ephi,0.020042062839986767,0.023769782205783657,-0.00372771936579689,,0.15682597903189296
old,fine,original,29,E_vs_B_E,ET,0.010600719518901736,0.013278255127362866,-0.0026775356084611304,-0.267753560846113,0.20164815201836717
old,fine,original,29,E_vs_B_E,EV,0.001380786940585424,0.0024037770202610122,-0.0010229900796755883,,0.42557611253164723
old,fine,original,29,E_vs_B_E,EI,0.009075323065351125,0.01620006478777624,-0.007124741722425115,-0.7124741722425115,0.4397971128980354
old,fine,original,29,E_vs_B_E,bottom_current_NRMSE,0.009075323065352796,0.016200064787774512,-0.007124741722421717,-0.7124741722421717,0.43979711289787254
old,fine,original,29,E_vs_B_E,power_trace_NRMSE,0.00916386824303848,0.01646429046914172,-0.007300422226103241,-0.7300422226103241,0.44340946485280336
old,fine,original,29,E_vs_B_E,energy_error,0.004062426958068074,0.010278021503871767,-0.0062155945458036935,-0.6215594545803693,0.6047462095172944
old,fine,original,29,E_vs_B_E,local_joule_NRMSE,0.06522075304494974,0.09946828750972929,-0.034247534464779544,,0.3443060629894698
old,fine,original,43,E_vs_F,S,0.0011316406249999998,0.0012525000000000001,-0.00012085937500000031,,0.09649451097804415
old,fine,original,43,E_vs_F,Ephi,0.021619161166716246,0.02448208540577694,-0.002862924239060694,,0.11693955770553523
old,fine,original,43,E_vs_F,ET,0.010330845552147926,0.010446690661100185,-0.00011584510895225851,-0.011584510895225851,0.011089168111737538
old,fine,original,43,E_vs_F,EV,0.0024518187970058486,0.004728587543504541,-0.0022767687464986925,,0.4814902390093618
old,fine,original,43,E_vs_F,EI,0.016310545317658975,0.03122235378817548,-0.014911808470516506,-1.4911808470516505,0.47760039398963894
old,fine,original,43,E_vs_F,bottom_current_NRMSE,0.016310545317660338,0.031222353788175655,-0.014911808470515316,-1.4911808470515315,0.4776003939895982
old,fine,original,43,E_vs_F,power_trace_NRMSE,0.01657408779940339,0.032316980116363005,-0.015742892316959616,-1.5742892316959616,0.4871399573931273
old,fine,original,43,E_vs_F,energy_error,0.007876623153903587,0.013512494192532771,-0.005635871038629184,-0.5635871038629183,0.4170859175461226
old,fine,original,43,E_vs_F,local_joule_NRMSE,0.09385792874669568,0.13912667460334038,-0.0452687458566447,,0.32537790460175214
old,fine,original,43,E_vs_B_E,S,0.0011316406249999998,0.0014084375000000002,-0.00027679687500000035,,0.19652762369647236
old,fine,original,43,E_vs_B_E,Ephi,0.021619161166716246,0.023769782205783657,-0.002150621039067411,,0.0904771032586122
old,fine,original,43,E_vs_B_E,ET,0.010330845552147926,0.013278255127362866,-0.0029474095752149397,-0.294740957521494,0.22197265732160332
old,fine,original,43,E_vs_B_E,EV,0.0024518187970058486,0.0024037770202610122,4.804177674483639e-05,,-0.01998595391332088
old,fine,original,43,E_vs_B_E,EI,0.016310545317658975,0.01620006478777624,0.00011048052988273452,0.011048052988273452,-0.00681975852134231
old,fine,original,43,E_vs_B_E,bottom_current_NRMSE,0.016310545317660338,0.016200064787774512,0.0001104805298858258,0.01104805298858258,-0.0068197585215338564
old,fine,original,43,E_vs_B_E,power_trace_NRMSE,0.01657408779940339,0.01646429046914172,0.00010979733026166699,0.0109797330261667,-0.006668816397976894
