time,nominal_roi_phase,joule_off_roi_phase,nominal_roi_temperature_max,joule_off_roi_temperature_max
1.935,0.832644628099,0,0.257782169206,0.000287896106966
1.94,0.832644628099,0,0.25565944459,0.000285581632253
1.945,0.832644628099,0,0.253552929959,0.000283284213342
1.95,0.830578512397,0,0.251462572171,0.00028100374762
1.955,0.826446280992,0,0.249388316503,0.000278740132723
1.96,0.826446280992,0,0.247330106716,0.000276493266538
1.965,0.826446280992,0,0.245287885119,0.000274263047215
1.97,0.826446280992,0,0.243261592632,0.000272049373168
1.975,0.824380165289,0,0.241251168842,0.000269852143083
1.98,0.824380165289,0,0.239256552058,0.000267671255926
1.985,0.824380165289,0,0.237277679367,0.000265506610945
1.99,0.824380165289,0,0.235314486677,0.00026335810768
1.995,0.818181818182,0,0.233375224873,0.000261225645965
2,0.818181818182,0,0.231460173715,0.000259109125933
