Reference,Candidate,Baseline,Comparison scope,Metric,Candidate error,Baseline error,Signed error difference,Difference in percentage points,Relative error reduction %
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,bottom_current_NRMSE,0.009515253798575795,0.009866780999711276,-0.0003515272011354806,-0.03515272011354806,3.5627344028996597
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,power_trace_NRMSE,0.009606869308288152,0.009968737724606467,-0.00036186841631831446,-0.036186841631831446,3.630032470661674
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,energy_error,0.004435330022953811,0.005126419117121799,-0.0006910890941679883,-0.06910890941679883,13.48093236972783
refined,shorter/29/E_R,shorter/29/E_C,matched phase-head development,local_joule_NRMSE,0.05435330162903804,0.05568871238263938,-0.0013354107536013432,-0.13354107536013432,2.3979917948644283
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,S,0.0009482031250000002,0.000981328125,-3.312499999999984e-05,,3.3755274261603216
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,Ephi,0.017250773434514036,0.017533513554061277,-0.00028274011954724024,,1.6125696579608217
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,ET,0.01050085803438248,0.01045555243676333,4.5305597619149304e-05,0.00453055976191493,-0.43331615324167716
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,EV,0.0014383972759337922,0.001536596694286078,-9.819941835228574e-05,,6.390708682209578
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,EI,0.009199367632606167,0.009866780999710606,-0.0006674133671044392,-0.06674133671044392,6.764246283808412
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,bottom_current_NRMSE,0.009199367632607995,0.009866780999711276,-0.0006674133671032804,-0.06674133671032804,6.76424628379621
refined,shorter/29/E_I,shorter/29/E_C,matched phase-head development,power_trace_NRMSE,0.00921949024201314,0.009968737724606467,-0.0007492474825933262,-0.07492474825933262,7.515971462905592
